Line,Node1 X,Node1 Y,Node1 Z,Node2 X,Node2 Y,Node2 Z
0,-0.174625,0.433216727,1.397,0.174625,0.433216727,1.397
1,0.174625,0.433216727,1.397,0.174625,0.115716727,1.397
2,0.174625,0.115716727,1.397,-0.174625,0.115716727,1.397
3,-0.174625,0.115716727,1.397,-0.174625,0.433216727,1.397
4,0.174625,0.115716727,1.397,0.173735242,0.115716727,1.051558618
5,0.173735242,0.115716727,1.051558618,0.174625,0.433216727,1.397
6,0.173735242,0.115716727,1.051558618,0.172989422,0.115716727,0.761999579
7,0.172989422,0.115716727,0.761999579,0.172662307,0.115716727,0.635
8,0.174625,0.433216727,1.397,0.254731792,0.30099,0.97028
9,0.254731792,0.30099,0.97028,0.173735242,0.115716727,1.051558618
10,0.254731792,0.30099,0.97028,0.172989422,0.115716727,0.761999579
11,0.172989422,0.115716727,0.761999579,0.256355428,0.3175,0.635
12,0.256355428,0.3175,0.635,0.172662307,0.115716727,0.635
13,0.254731792,0.30099,0.97028,0.256355428,0.3175,0.635
14,0.203661352,0.61976,0.635,0.256355428,0.3175,0.635
15,-0.174625,0.433216727,1.397,7.28584E-17,0.519329057,1.045244645
16,0.172662307,0.115716727,0.635,0.261734262,0.064244746,0.113695561
17,7.28584E-17,0.519329057,1.045244645,0.203661352,0.61976,0.635
18,0.261734262,0.064244746,0.113695561,0.256355428,0.3175,0.635
19,0.174625,0.433216727,1.397,7.28584E-17,0.519329057,1.045244645
20,7.28584E-17,0.519329057,1.045244645,-0.203661352,0.61976,0.635
21,0.337201575,0.3175,-0.108853138,0.256355428,0.3175,0.635
22,0.337201575,0.3175,-0.108853138,0.261734262,0.064244746,0.113695561
23,0.203661352,0.61976,0.635,0.337201575,0.3175,-0.108853138
24,0.337201575,0.3175,-0.108853138,0.133501105,1.00965,-0.127
25,0.133501105,1.00965,-0.127,-0.133501105,1.00965,-0.127
26,0.133501105,1.00965,-0.127,0.2794,0.28956,-0.6858
27,0.337201575,0.3175,-0.108853138,0.2794,0.28956,-0.6858
28,0.261734262,0.064244746,0.113695561,0.254,0.1524,-0.36195
29,0.254,0.1524,-0.36195,0.337201575,0.3175,-0.108853138
30,0.254,0.1524,-0.36195,0.2794,0.28956,-0.6858
31,0.254,0.1524,-0.36195,0.22606,0.147474767,-0.6858
32,0.22606,0.147474767,-0.6858,0.2794,0.28956,-0.6858
33,-0.133501105,1.00965,-0.127,-0.337201575,0.3175,-0.108853138
34,-0.337201575,0.3175,-0.108853138,0.337201575,0.3175,-0.108853138
35,-0.337201575,0.3175,-0.108853138,-0.261734262,0.064244746,0.113695561
36,-0.261734262,0.064244746,0.113695561,0.261734262,0.064244746,0.113695561
37,0.203661352,0.61976,0.635,-0.203661352,0.61976,0.635
38,-0.337201575,0.3175,-0.108853138,-0.256355428,0.3175,0.635
39,-0.203661352,0.61976,0.635,-0.256355428,0.3175,0.635
40,-0.256355428,0.3175,0.635,-0.172662307,0.115716727,0.635
41,-0.172662307,0.115716727,0.635,0.172662307,0.115716727,0.635
42,-0.261734262,0.064244746,0.113695561,-0.172662307,0.115716727,0.635
43,-0.261734262,0.064244746,0.113695561,-0.256355428,0.3175,0.635
44,-0.261734262,0.064244746,0.113695561,0.172662307,0.115716727,0.635
45,-0.172662307,0.115716727,0.635,-0.172989422,0.115716727,0.761999579
46,0.173735242,0.115716727,1.051558618,-0.173735242,0.115716727,1.051558618
47,-0.2794,0.28956,-0.6858,-0.337201575,0.3175,-0.108853138
48,-0.22606,0.147474767,-0.6858,-0.2794,0.28956,-0.6858
49,-0.256355428,0.3175,0.635,-0.172989422,0.115716727,0.761999579
50,-0.172989422,0.115716727,0.761999579,-0.254731792,0.30099,0.97028
51,-0.254731792,0.30099,0.97028,-0.173735242,0.115716727,1.051558618
52,-0.173735242,0.115716727,1.051558618,-0.174625,0.433216727,1.397
53,-0.174625,0.433216727,1.397,-0.254731792,0.30099,0.97028
54,-0.256355428,0.3175,0.635,-0.254731792,0.30099,0.97028
55,-0.133501105,1.00965,-0.127,-0.2794,0.28956,-0.6858
56,-0.22606,0.147474767,-0.6858,-0.254,0.1524,-0.36195
57,-0.254,0.1524,-0.36195,-0.261734262,0.064244746,0.113695561
58,0.254731792,0.30099,0.97028,7.28584E-17,0.519329057,1.045244645
59,-0.2794,0.28956,-0.6858,-0.254,0.1524,-0.36195
60,0.22606,0.147474767,-0.6858,-0.22606,0.147474767,-0.6858
61,0.2794,0.28956,-0.6858,-0.2794,0.28956,-0.6858
62,0.254,0.1524,-0.36195,-0.254,0.1524,-0.36195
63,-0.337201575,0.3175,-0.108853138,-0.254,0.1524,-0.36195
64,-0.203661352,0.61976,0.635,-0.337201575,0.3175,-0.108853138
65,-0.172989422,0.115716727,0.761999579,-0.173735242,0.115716727,1.051558618
66,-0.173735242,0.115716727,1.051558618,-0.174625,0.115716727,1.397
67,0.256355428,0.3175,0.635,7.28584E-17,0.519329057,1.045244645
68,-0.254731792,0.30099,0.97028,7.28584E-17,0.519329057,1.045244645
69,-0.256355428,0.3175,0.635,7.28584E-17,0.519329057,1.045244645
70,0.174625,0.115716727,1.397,-0.173735242,0.115716727,1.051558618
71,-0.173735242,0.115716727,1.051558618,0.172662307,0.115716727,0.635
72,-0.261734262,0.064244746,0.113695561,0.254,0.1524,-0.36195
73,-0.22606,0.147474767,-0.6858,0.254,0.1524,-0.36195
