ID, X (m), Y (m), Z (m), Load X (N), Load Y (N), Load Z (N), Fixture X (0/1), Fixture Y (0/1), Fixture Z (0/1)
1,-0.174625,0.433217,1.397,0,0,0,0,0,0
2,0.174625,0.433217,1.397,0,0,0,0,0,0
3,0.174625,0.115717,1.397,0,-200,0,0,0,0
4,-0.174625,0.115717,1.397,0,200,0,0,0,0
5,0.173735,0.115717,1.051559,0,0,0,0,0,0
6,0.172989,0.115717,0.762,0,0,0,0,0,0
7,0.172662,0.115717,0.635,0,0,0,0,0,0
8,0.254732,0.30099,0.97028,0,0,0,0,0,0
9,0.256355,0.3175,0.635,0,0,0,0,0,0
10,0.203661,0.61976,0.635,0,0,0,0,0,0
11,0,0.519329,1.045245,0,0,0,0,0,0
12,0.261734,0.064245,0.113696,0,0,0,0,0,0
13,-0.203661,0.61976,0.635,0,0,0,0,0,0
14,0.337202,0.3175,-0.108853,0,0,0,0,0,0
15,0.133501,1.00965,-0.127,0,0,0,0,0,0
16,-0.133501,1.00965,-0.127,0,0,0,0,0,0
17,0.2794,0.28956,-0.6858,0,0,0,1,1,1
18,0.254,0.1524,-0.36195,0,0,0,0,0,0
19,0.22606,0.147475,-0.6858,0,0,0,1,1,1
20,-0.337202,0.3175,-0.108853,0,0,0,0,0,0
21,-0.261734,0.064245,0.113696,0,0,0,0,0,0
22,-0.256355,0.3175,0.635,0,0,0,0,0,0
23,-0.172662,0.115717,0.635,0,0,0,0,0,0
24,-0.172989,0.115717,0.762,0,0,0,0,0,0
25,-0.173735,0.115717,1.051559,0,0,0,0,0,0
26,-0.2794,0.28956,-0.6858,0,0,0,1,1,1
27,-0.22606,0.147475,-0.6858,0,0,0,1,1,1
28,-0.254732,0.30099,0.97028,0,0,0,0,0,0
29,-0.254,0.1524,-0.36195,0,0,0,0,0,0
