Line,Node1 X,Node1 Y,Node1 Z,Node2 X,Node2 Y,Node2 Z
0,0,0,0,0.333375,3.44403E-17,0
1,0.333375,3.44403E-17,0,0.333375,5.8092E-17,0.333375
2,0.333375,5.8092E-17,0.333375,-2.33482E-19,-4.73034E-17,0.333375
3,-2.33482E-19,-4.73034E-17,0.333375,0,0,0
4,-2.33482E-19,-4.73034E-17,0.333375,-2.33482E-19,2.0828,0.333375
5,-2.33482E-19,2.0828,0.333375,0.333375,2.0828,0.333375
6,0.333375,2.0828,0.333375,0.333375,5.8092E-17,0.333375
7,0.333375,3.44403E-17,0,0.333375,2.0828,0
8,0.333375,2.0828,0,0.333375,2.0828,0.333375
9,-2.33482E-19,2.0828,0.333375,5.74042E-18,2.0828,0
10,5.74042E-18,2.0828,0,0,0,0
11,0.333375,2.0828,0,5.74042E-18,2.0828,0
12,-2.33482E-19,-4.73034E-17,0.333375,5.74042E-18,2.0828,0
13,-2.33482E-19,-4.73034E-17,0.333375,0.333375,3.44403E-17,0
14,5.74042E-18,2.0828,0,0.333375,3.44403E-17,0
15,0.333375,2.0828,0.333375,0.333375,3.44403E-17,0
16,0.333375,2.0828,0.333375,5.74042E-18,2.0828,0
17,0.333375,2.0828,0.333375,-2.33482E-19,-4.73034E-17,0.333375
